city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Churachandpur,1,1,0,452.21240225751114,0.4652327750248936,1.6767960456016013,1.2643051911294092,45,5.2576987654321,False
Churu,1,1,1,482.7926532143316,0.7016243730347445,1.2816596237482512,0.997493792492949,45,5.505313580246914,False
Coimbatore,1,1,2,433.0621238350865,0.5624631594084406,1.1030737001402946,0.9488375814877896,45,2.780958024691358,False
Cuddalore,1,1,1,338.92751659350256,0.4999652424652784,0.5071665202631783,0.4271644513873297,45,0.5144000000000001,False
Cuttack,1,1,0,446.68664661848345,0.6532198470332267,1.4627339920301392,1.1999527629514708,45,6.169876543209876,False
Dadra,2,1,2,337.9514412089232,0.7299808110569108,0.8914978857567011,0.6365766302099523,45,2.9433777777777776,False
Daman,1,1,2,356.76121782606435,0.7158442824693415,0.9109639804443924,0.6635468186866272,45,2.9204246913580247,False
Damoh,0,1,1,451.92669523960296,0.7630253301590117,1.6605286330262172,1.3348967942541328,45,11.635654320987657,False
Darbhanga,1,1,1,411.807896197892,0.7409264191872291,1.3884133647256953,1.1112506902303994,45,7.44071111111111,False
Darjiling,1,1,2,600.9345647552335,0.05255428530811779,2.1399632243791293,1.8041603231998806,45,4.833461728395061,False
Darrang,0,1,1,338.8707551367935,0.42618185852715773,1.5057626793902534,1.1715525820736767,45,3.9512888888888904,False
Datia,2,1,2,457.6748638195388,0.48047605047282804,2.3153090335419964,1.8618092759331464,45,10.318400000000002,False
Dausa,0,1,2,495.7915753850218,0.668525745196668,1.6807791025926422,1.3658197996995922,45,8.522587654320988,False
Dehradun,0,1,0,380.61528415451085,0.5152574156154108,1.5898287818364452,1.2355555555555555,45,5.214222222222222,False
Deoghar,0,1,0,402.4479887958814,0.7062805058667485,1.753599472830416,1.3600000000000003,45,10.46955061728395,False
Deoria,0,1,0,418.5431064581508,0.6578115509767046,1.7995678493584077,1.3444444444444446,45,9.46392098765432,False
Dewas,1,1,1,458.92212648828774,0.5436971058379344,1.6689379816157839,1.3651301503980315,45,6.104177777777779,False
Dhalai,1,1,0,365.0557237416147,0.7532529470830935,1.0469411376347213,0.7533997297295046,45,4.4421432098765425,False
Dhamtari,0,1,0,400.6094297107867,0.5904547103091851,1.7922053453775877,1.435555555555555,45,7.842844444444444,False
Dhanbad,0,1,2,417.52082400229006,0.7762261909102046,1.5009676470021205,1.2929357712590266,45,10.067772839506173,False
Dhar,1,1,1,459.2274341885783,0.5379276231901376,1.6786948128478136,1.3717886856110926,45,6.0986469135802475,False
Dharmanagar,0,1,0,397.1322563998186,0.5996652767140384,1.1830622822304682,0.7490909090909091,55,3.4961652892561976,False
Dharmapuri,2,1,2,396.9643142511595,0.648514991746471,0.9293127017386585,0.7312932037545248,45,2.4570666666666674,False
Dharwad,1,1,1,450.2519795976933,0.6787779871535844,1.3720748594090861,1.0574988692415597,45,5.860711111111111,False
Dhaulpur,2,1,2,475.76720133977733,0.6679332323597595,1.9975106223821555,1.535837655023879,45,12.015802469135803,False
Dhemaji,0,1,1,404.8730858161015,0.5023769360002643,1.3169837298682794,1.0517146218671831,45,3.485461728395062,False
Dhenkanal,1,1,0,440.2661528286477,0.6536059548486735,1.461919455334921,1.1994993629744308,45,6.169876543209876,False
Dhubri,2,1,0,349.64881128644254,0.6814452174694061,1.0642286384109882,0.8440149881172614,45,3.5553777777777777,False
Dhule,1,1,1,421.9309344591645,0.7652118985978302,1.2757260341802716,0.9723214021913429,45,6.931683950617284,False
Dibrugarh,0,1,1,373.79190566754835,0.5016023501057755,1.3322338186546032,1.0535377652994715,45,3.561106172839507,False
Dimapur,2,1,2,318.55514902337836,0.7578241811879923,1.0883810998231234,0.8135876759620879,45,4.891377777777777,False
Dindigul,0,1,1,608.5092420465992,0.01574420294643275,1.9243606758698697,1.3862118118791995,45,3.7624000000000004,False
Dindori,0,1,1,570.0112913953793,0.5935504006609092,2.08038066716706,1.645317233281794,45,10.648266666666668,False
Diu,1,1,1,313.4596718985696,0.6155245195397889,0.9684033237041038,0.7340115549834199,45,2.4391802469135806,False
Doda,2,1,2,473.838631425951,0.48736419847098145,1.9196784540794278,1.4905734421059027,45,7.188661728395061,False
Dohad,2,1,1,416.165121256718,0.7647679766882036,1.1972169989100856,0.9080822300778999,45,6.093254320987655,False
