city,n_train_cities,n_test_rows,temp_r2,temp_rmse,temp_mae,hum_r2,hum_rmse,hum_mae,temp_variance,hum_variance,temp_r2_undefined,hum_r2_undefined,temp_test_unique_ratio,temp_test_max_run
Jaunpur,551,179,0.9546643363598215,1.1763769467639733,0.8561148369559075,0.8039448598618143,8.135091426063005,5.977820520399178,30.524814456477635,337.5566305670859,False,False,0.6480446927374302,3
Jhabua,551,179,0.8253012344233224,1.0035598974396824,0.7363543745611731,0.9099588163030791,6.443072785015476,5.017843696339479,5.764966137136794,461.04665896819694,False,False,0.44692737430167595,2
Jhajjar,551,179,0.943246920403035,1.4877298117563043,1.1242596077617908,0.6484967091417411,8.716092015202134,6.314990896071017,38.999469429793066,216.12958397053774,False,False,0.17318435754189945,5
Jhalawar,551,179,0.9172498355918455,1.109054132005551,0.8369495537210474,0.8559407881133055,7.358708466878282,5.349552911295612,14.864031709372368,375.89120189756875,False,False,0.5586592178770949,3
Jhansi,551,178,0.9476002687330818,1.1236387982022271,0.8395173306518943,0.8097912176649589,7.649398528168548,5.6857549536314025,24.094859234945083,307.6266885494255,False,False,0.6123595505617978,2
Jhargram,551,179,0.8904268242064576,1.2016124543177906,0.947008571749351,0.7793955089144884,9.590511466862957,6.577397398709769,13.177244155925221,416.9358010049624,False,False,0.5418994413407822,2
Jharsuguda,551,179,0.8606382524681161,1.2163925792006074,0.8982136783101847,0.7872378598854496,8.885467575952179,6.182299006079758,10.617051902250243,371.07886770075845,False,False,0.5307262569832403,2
Jhunjhunun,551,179,0.956835854333979,1.3029090779662165,0.9895592560529447,0.6626040388435621,8.851113083688208,6.5517614322579805,39.328290627633336,232.19662307668304,False,False,0.6536312849162011,2
Jind,551,179,0.9654347897933426,1.1170788360131296,0.8406296882573413,0.797620249872773,8.03129701056901,6.211786957542654,36.10176586248869,318.71633219936956,False,False,0.6256983240223464,2
Jodhpur,551,179,0.9284798011562012,1.3027060474415653,0.9665199594963493,0.5750765558138357,11.58394361059666,8.386241090742178,23.728164539184174,315.7927655191786,False,False,0.553072625698324,2
Jorhat,551,179,0.9276357722220887,1.0701844889794285,0.7421000721978954,0.8592795252830792,5.130435158387868,3.769098842818015,15.826809400455666,187.04715832839176,False,False,0.5418994413407822,2
Junagadh,551,179,0.8621581482663842,0.8495079285283761,0.6441777471739,0.7927349301334121,10.468257476553473,7.66420729935934,5.235447083424362,528.7162697793452,False,False,0.43575418994413406,2
Kadapa,551,179,0.8273109579257922,0.9946837876230161,0.7820403293150017,0.6002652566451616,7.160296445780037,5.563415592391166,5.729349271246215,128.25966730127024,False,False,0.44692737430167595,2
Kaithal,551,179,0.9586326775353059,1.2042494155025882,0.8956774669865952,0.7712974311054577,8.720476631106377,6.434285313249315,35.05705876845292,332.51359196030086,False,False,0.6256983240223464,3
Kakching,551,179,0.9382725055643973,1.1665242514535261,0.8445975315331703,0.8129935150950153,5.507942903994364,3.776617251102592,22.04493867232608,162.2266471083924,False,False,0.547486033519553,2
Kancheepuram,551,179,0.22419290588480112,1.2640160070100155,0.9570528816417694,0.5217556100820211,4.051756887557145,3.1794234409686197,2.0594507037857754,34.32708092756156,False,False,0.07262569832402235,5
Kangpokpi,551,179,0.9432632320688972,1.1959226503174425,0.869100875391061,0.7810941952194683,5.966345377097104,4.202605431447828,25.20818576199245,162.61458755968917,False,False,0.5642458100558659,3
Kangra,551,178,0.8060897530309729,1.625743658997809,1.1273340195109631,0.7124647584843706,8.528632240162315,6.262627795349667,13.630236081302867,252.96922737028154,False,False,0.5617977528089888,2
Kanker,551,164,0.8471144288941665,1.2172331085440182,0.8805106862719527,0.824138466760822,7.7419293199638926,5.446726138126157,9.69127714158239,340.82194378346225,False,False,0.524390243902439,3
Kannauj,551,179,0.9614846702316734,1.0935581645116814,0.8253041802908267,0.7397641931754411,8.668508199069963,6.251493316874714,31.04918136138073,288.74978933241783,False,False,0.6536312849162011,2
Kanniyakumari,551,179,0.4269160146276674,0.641355574631257,0.49697026536622513,0.5291111380920779,4.423695688511935,3.0979298206175434,0.7177603695265438,41.557754127524106,False,False,0.2011173184357542,3
Kannur,551,179,0.25222511526491354,0.5346901987815494,0.4153045442298962,0.3329846130256724,4.753442046414912,3.786645386884476,0.3823257701070505,33.87509753128804,False,False,0.17318435754189945,3
Kanpur,551,185,0.894040793049091,1.0421387190700404,0.7610800120400878,0.7123881265871972,5.93181385281264,4.46525787134537,10.249728560993423,122.33992695398102,False,False,0.4810810810810811,3
Kantha,551,187,0.9146534655254015,1.7626854797205118,1.3262082911780058,0.6204430400931339,8.003173948929033,5.847969428618488,36.405228631073236,168.7514655838028,False,False,0.17647058823529413,7
Kapurthala,551,179,0.9338003728037308,1.7345412199428765,1.3080845192082884,0.49413499106008485,9.509843620652305,5.762926707365478,45.447888018476334,178.7771917231048,False,False,0.21787709497206703,4
Karaikal,551,179,0.5092995029612193,0.7305582752792039,0.5387635486541309,0.46999361318294053,4.342824961871661,3.36456447698452,1.0876601853874721,35.584719578040634,False,False,0.24022346368715083,3
Karauli,551,179,0.952792058897938,1.0767403898259245,0.8137748177851083,0.8182609789091213,7.535610942853396,5.704866449365062,24.55878905152773,312.4559158578072,False,False,0.6033519553072626,2
Kargil,551,179,0.9188232309142091,2.844057978317733,1.8163143506244488,0.6946838901311072,9.706996790661698,7.0087790442234255,99.64261789582098,308.6171467806873,False,False,0.7094972067039106,3
Karimganj,551,179,0.9613649731040365,0.8228900760971791,0.603680854234676,0.8413918969131835,5.334719948073902,3.5901987640558213,17.52679192284885,179.43116631815488,False,False,0.5921787709497207,3
Karimnagar,551,179,0.8303569064198959,0.9318656360016446,0.7092439359096977,0.8197837479442516,7.87931230155233,5.559682118521041,5.118826503542337,344.4948035329734,False,False,0.40782122905027934,3
Karnal,551,179,0.9631722877735979,1.0608851487362398,0.8363771100404508,0.8033335307089207,8.190283316750127,6.32648524448377,30.56060859523735,341.08885490465343,False,False,0.6256983240223464,3
Karur,551,179,0.6749847403193421,0.9391017700364331,0.687818328034637,0.5539987932228085,5.039852915961291,3.9122338211043957,2.7134483942448733,56.95078181080491,False,False,0.30726256983240224,6
Kasaragod,551,179,-0.05230227293290546,1.209747100742545,0.9225056831308968,0.40565572832630903,6.2910704193537,4.9870140859089656,1.3907487281920041,66.59030617021939,False,False,0.0670391061452514,6
